requirement_id,source_kind,source_path,source_lines,step_id,user_facing_outcome,classification,target_package,schema_path,schema_field,validator_symbol,renderer_symbol,quality_gate_id,operator_surface,positive_fixture,negative_fixture,acceptance_test,evidence_path,implementation_status,notes
PQ0-2-002,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,131,2,Typed target keyword search volume difficulty and CPC where available,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: metric fields absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-002-positive.json,planned:tests/fixtures/step2/pq0-2-002-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_002,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-002.md,planned,Must distinguish unavailable CPC from invented data.
PQ0-2-003,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,132-134,2,Category content type GEO type engine target information gain entity density business relevance and mandatory-location policy,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: classification fields absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-003-positive.json,planned:tests/fixtures/step2/pq0-2-003-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_003,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-003.md,planned,Typed classification is required for the solver bridge.
PQ0-2-004,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,137,2,No invented zero-filled or provider-default metrics,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: metric provenance rule absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-004-positive.json,planned:tests/fixtures/step2/pq0-2-004-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_004,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-004.md,planned,Negative fixture must use missing provider metric rather than a fabricated value.
PQ0-2-005,prompt,prompts/2-cluster-recherche.xml.md,14-21,2,Provider Gateway only with request response geo language device cost job and hash evidence,strengthened,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,properties.evidence_ids;properties.geo;properties.language,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,tests/fixtures/step2/approved-pillar.json,not_applicable:negative mutation in contract test,tests/test_step2_contract.py::test_preflight_rejects_below_threshold,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-005.md,verified,Direct positive full-preflight proof remains a PQ-2 acceptance gap.
PQ0-2-006,validator,services/step2_preflight/validator.py,54-75,2,At least 25 verified provider-evidence rows per approved pillar,preserved,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,properties.pillars.items.properties.rows,services.step2_preflight.validator.validate_step2_candidate,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,tests/fixtures/step2/approved-pillar.json,not_applicable:below-threshold mutation in test,tests/test_step2_contract.py::test_preflight_rejects_below_threshold,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-006.md,verified,Local deterministic fixture only.
PQ0-3-001,parity_audit,00_admin/audits/2026-08-21-prompt-quality-preservation/READ_ONLY_PROMPT_PARITY_AUDIT.md,55-59,3,Released Step-2 projection supplies all real solver metrics and classifications,missing,PQ-2,standards/outputs/step-3-plan.schema.json,properties.solver_input,services.step3_preflight.validator.step2_solver_projection,services.step3_preflight.render.render_step3,qg-step3-deterministic-plan,Plan artifact review,planned:tests/fixtures/step3/pq0-3-001-positive.json,planned:tests/fixtures/step3/pq0-3-001-negative.json,planned:tests/test_step3_contract.py::test_pq0_3_001,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-3-001.md,planned,Production-blocking bridge gap.
PQ0-3-002,validator,services/step3_preflight/validator.py,74-95,3,Canonical solver bytes SHA-256 bindings and 17-week capacity-safe plan,preserved,PQ-2,standards/outputs/step-3-plan.schema.json,properties.solver_input;properties.solver_output;properties.weeks,services.step3_preflight.validator.validate_step3_candidate,services.step3_preflight.render.render_step3,qg-step3-deterministic-plan,Plan artifact review,tests/fixtures/step3/deterministic-plan.json,not_applicable:invalid constraint mutation in test,tests/test_step3_contract.py::test_rejects_invalid_constraints,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-3-002.md,verified,Direct full-preflight proof remains a PQ-2 acceptance gap.
PQ0-3-003,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,136,3,Effort weights priority formula mandatory Phase-1/2 placement backlog and link maps from released evidence,missing,PQ-2,standards/outputs/step-3-plan.schema.json,not_applicable: real input bridge incomplete,services.step3_preflight.validator.validate_step3_preflight,services.step3_preflight.render.render_step3,qg-step3-deterministic-plan,Plan artifact review,planned:tests/fixtures/step3/pq0-3-003-positive.json,planned:tests/fixtures/step3/pq0-3-003-negative.json,planned:tests/test_step3_contract.py::test_pq0_3_003,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-3-003.md,planned,Do not use simulated output as real bridge evidence.
PQ0-4A-001,deferred_geo_plan,.hermes/plans/2026-08-20-deferred-geo-v2-contract-restoration.md,40-42,4a,Hero Direct Answer with 50 to 70 words,restored,PQ-4,standards/outputs/step-4a-briefing.schema.json,properties.briefing.properties.hero_direct_answer,services.step4a_preflight.validator.validate_step4a_candidate,services.step4a_preflight.render.render_step4a,qg-step4a-claims-and-schema,Briefing and Claim Ledger review,tests/fixtures/step4a/pq0-4a-001-positive.json,tests/fixtures/step4a/pq0-4a-001-negative.json,tests/test_step4a_contract.py::Step4AContractTests::test_pq0_4a_001_rejects_hero_direct_answer_outside_computed_word_range,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4A-001.md,verified,Local deterministic contract proof; no external execution claim.
PQ0-4A-002,prompt,prompts/4a-content-briefing-und-schema.xml.md,26-35,4a,Gateway SERP evidence claim ledger reviewer policy hash-bound JSON-LD and deterministic Notion projection,strengthened,PQ-4,standards/outputs/step-4a-briefing.schema.json;standards/outputs/claim-ledger.schema.json,properties.serp_evidence;properties.jsonld;properties.claim_bindings;properties.notion_frontmatter,services.step4a_preflight.validator.validate_step4a_candidate,services.step4a_preflight.render.render_step4a,qg-step4a-claims-and-schema,Briefing and Claim Ledger review,tests/fixtures/step4a/positive-bundle.json,tests/fixtures/step4a/missing-reviewer-policy-bundle.json,tests/test_step4a_contract.py::test_preflight_rejects_ymyl_claim_without_reviewer_policy,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4A-002.md,verified,Local deterministic evidence only; external rich-result positive proof is not verified.
PQ0-4A-003,quality_gate_registry,standards/quality/quality-gate-registry.json,103-116,4a,External rich-result verification recorded for production eligibility,separated_external,PQ-4,standards/outputs/step-4a-briefing.schema.json,not_applicable: production external evidence record,services.step4a_preflight.validator.validate_step4a_preflight,services.step4a_preflight.render.render_step4a,qg-step4a-claims-and-schema,Briefing and Claim Ledger review,not_applicable:requires live Rich Results execution,not_applicable:requires live failure evidence,not_applicable:production external gate,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4A-003.md,deferred_external,Gate is implemented and separated; no live Google Rich Results verification is claimed.
PQ0-4B-001,deferred_geo_plan,.hermes/plans/2026-08-20-deferred-geo-v2-contract-restoration.md,52-53,4b,Semantic section IDs bound to content structure,restored,PQ-4,standards/outputs/step-4b-page-spec.schema.json,properties.sections,services.step4b_preflight.validator.validate_step4b_candidate,services.step4b_preflight.render.render_step4b,qg-step4b-staging-technical,Page Spec and staging review,tests/fixtures/step4b/pq0-4b-001-positive.json,tests/fixtures/step4b/pq0-4b-001-negative.json,tests/test_step4b_contract.py::Step4BContractTests::test_pq0_4b_001_accepts_closed_sections_and_rejects_legacy_html,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4B-001.md,verified,Typed section authority replaces freeform HTML input.
PQ0-4B-002,parity_audit,00_admin/audits/2026-08-21-prompt-quality-preservation/READ_ONLY_PROMPT_PARITY_AUDIT.md,53,4b,Complete conversion and Local SEO page structure,restored,PQ-4,standards/outputs/step-4b-page-spec.schema.json,properties.conversion;properties.local,services.step4b_preflight.validator.validate_step4b_candidate,services.step4b_preflight.render.render_step4b,qg-step4b-staging-technical,Page Spec and staging review,tests/fixtures/step4b/pq0-4b-002-positive.json,tests/fixtures/step4b/pq0-4b-002-negative.json,tests/test_step4b_contract.py::Step4BContractTests::test_pq0_4b_002_accepts_canonical_physical_location_conversion,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4B-002.md,verified,Local conversion and service-area safety are contract-enforced.
PQ0-4B-003,prompt,prompts/4b-landingpage-html.xml.md,18-29,4b,Safe hash-bound standalone HTML metadata canonical JSON-LD forms consent tracking service-area safety accessibility responsiveness and sibling links,strengthened,PQ-4,standards/outputs/step-4b-page-spec.schema.json;standards/outputs/staging-evidence.schema.json,properties.html;properties.content_sha256;properties.jsonld;properties.forms;properties.consent;properties.service_area,services.step4b_preflight.validator.validate_step4b_candidate,services.step4b_preflight.render.render_step4b,qg-step4b-staging-technical,Page Spec and staging review,tests/fixtures/step4b/positive-bundle.json,tests/fixtures/step4b/unsafe-service-area-bundle.json,tests/test_step4b_contract.py::test_preflight_rejects_service_area_address_claim,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4B-003.md,verified,Negative renderer-specific proof is an acceptance-proof gap.
PQ0-4B-004,quality_gate_registry,standards/quality/quality-gate-registry.json,119-132,4b,Staging crawl Lighthouse axe and visual evidence bound to approved content hash,separated_external,PQ-4,standards/outputs/staging-evidence.schema.json,root staging evidence record,services.step4b_preflight.validator.validate_step4b_preflight,services.step4b_preflight.render.render_step4b,qg-step4b-staging-technical,Page Spec and staging review,tests/fixtures/step4b/pq0-4b-004-positive.json,tests/fixtures/step4b/pq0-4b-004-negative.json,tests/test_step4b_contract.py::Step4BContractTests::test_pq0_4b_004_binds_exact_immutable_staging_evidence,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4B-004.md,deferred_external,Local shape hash and provenance proof only; staging tools were not executed.
PQ0-1C-005,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,101,1c,Substantive editorial block,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: content block absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-005-positive.json,planned:tests/fixtures/step1c/pq0-1c-005-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_005,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-005.md,planned,Missing template structure.
PQ0-1C-006,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,102,1c,Unique pillar-specific heartpiece,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: content block absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-006-positive.json,planned:tests/fixtures/step1c/pq0-1c-006-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_006,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-006.md,planned,Missing template structure.
PQ0-1C-007,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,103,1c,Grouped cluster links,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: grouped links absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-007-positive.json,planned:tests/fixtures/step1c/pq0-1c-007-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_007,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-007.md,planned,Missing template structure.
PQ0-1C-008,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,104,1c,Process section,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: content block absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-008-positive.json,planned:tests/fixtures/step1c/pq0-1c-008-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_008,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-008.md,planned,Missing template structure.
PQ0-1C-009,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,105,1c,Social Proof section,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: content block absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-009-positive.json,planned:tests/fixtures/step1c/pq0-1c-009-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_009,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-009.md,planned,Missing template structure.
PQ0-1C-010,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,106,1c,Visible FAQ answers,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: FAQ answers absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-010-positive.json,planned:tests/fixtures/step1c/pq0-1c-010-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_010,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-010.md,planned,Missing template structure.
PQ0-1C-011,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,107,1c,Cross-pillar links,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: explicit cross-pillar links absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-011-positive.json,planned:tests/fixtures/step1c/pq0-1c-011-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_011,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-011.md,planned,Missing template structure.
PQ0-1C-012,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,108,1c,Final CTA,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: final CTA absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-012-positive.json,planned:tests/fixtures/step1c/pq0-1c-012-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_012,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-012.md,planned,Missing template structure.
PQ0-2-007,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,131,2,Typed search volume,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: search volume absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-007-positive.json,planned:tests/fixtures/step2/pq0-2-007-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_007,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-007.md,planned,Split from PQ0-2-002 for independent metric proof.
PQ0-2-008,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,131,2,Typed difficulty and CPC where available,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: difficulty and CPC absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-008-positive.json,planned:tests/fixtures/step2/pq0-2-008-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_008,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-008.md,planned,Unavailable CPC must be explicit rather than invented.
PQ0-2-009,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,132,2,Category and content-type classification,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: category and content type absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-009-positive.json,planned:tests/fixtures/step2/pq0-2-009-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_009,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-009.md,planned,Split from PQ0-2-003 for independent solver proof.
PQ0-2-010,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,132-134,2,GEO type engine target information gain entity density business relevance and mandatory-location policy,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: remaining solver classifications absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-010-positive.json,planned:tests/fixtures/step2/pq0-2-010-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_010,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-010.md,planned,Grouped by one typed classification set.
PQ0-3-004,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,136,3,Existing effort weights and priority formula run from released typed Step-2 data,missing,PQ-2,standards/outputs/step-3-plan.schema.json,not_applicable: real typed input bridge incomplete,services.step3_preflight.validator.validate_step3_preflight,services.step3_preflight.render.render_step3,qg-step3-deterministic-plan,Plan artifact review,planned:tests/fixtures/step3/pq0-3-004-positive.json,planned:tests/fixtures/step3/pq0-3-004-negative.json,planned:tests/test_step3_contract.py::test_pq0_3_004,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-3-004.md,planned,No manual side data.
PQ0-3-005,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,136,3,Mandatory Phase-1/2 placement backlog and link maps run from released typed Step-2 data,missing,PQ-2,standards/outputs/step-3-plan.schema.json,not_applicable: real typed input bridge incomplete,services.step3_preflight.validator.validate_step3_preflight,services.step3_preflight.render.render_step3,qg-step3-deterministic-plan,Plan artifact review,planned:tests/fixtures/step3/pq0-3-005-positive.json,planned:tests/fixtures/step3/pq0-3-005-negative.json,planned:tests/test_step3_contract.py::test_pq0_3_005,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-3-005.md,planned,No deterministic fixture may be presented as real bridge proof.
PQ0-4A-004,deferred_geo_plan,.hermes/plans/2026-08-20-deferred-geo-v2-contract-restoration.md,42,4a,15 to 20 Semantic Triples,restored,PQ-4,standards/outputs/step-4a-briefing.schema.json,properties.briefing.properties.semantic_triples,services.step4a_preflight.validator.validate_step4a_candidate,services.step4a_preflight.render.render_step4a,qg-step4a-claims-and-schema,Briefing and Claim Ledger review,tests/fixtures/step4a/pq0-4a-004-positive.json,tests/fixtures/step4a/pq0-4a-004-negative.json,tests/test_step4a_contract.py::Step4AContractTests::test_pq0_4a_004_rejects_invalid_semantic_triples_at_the_candidate_seam,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-4/PQ0-4A-004.md,verified,Cardinality uniqueness and evidence resolution are enforced.
